clinic_name,clinic_type,address,old_address,ward,prov,latitude,longitude,price,phone,website,operating_hours,license_number,license_issue_date,description,target_groups,ggmaps_link
Bệnh viện Đại học Y Dược TPHCM,Bệnh viện công lập,"215 Hồng Bàng, Phường Chợ Lớn, Thành phố Hồ Chí Minh","215 Hồng Bàng, Phường 11, Quận 5",Phường Chợ Lớn,Thành phố Hồ Chí Minh,,,,"1900 7178
",https://bvdaihoc.com.vn,"Thứ 2 - Thứ 6: 4h30 - 16h30
Thứ 7: 4h30 - 11h30",,,"Cung cấp dịch vụ đánh giá sức khoẻ tâm thần; Thăm khám, chữa bệnh về tâm lý/ tầm thần",Nhân viên Y tế; Người bệnh mạn tính; Người có H; Cộng đồng LGBTQ+; Nạn nhân buôn bán người,
Bệnh viện Chỉnh hình PHCN,Bệnh viện công lập,"1A Lý Thường Kiệt, Phường Tân Sơn Nhất, Thành phố Hồ Chí Minh","1A Lý Thường Kiệt, Phường 7, Quận Tân Bình",Phường Tân Sơn Nhất,Thành phố Hồ Chí Minh,,,,(028) 3971 2960,https://benhvien1a.com/dat-lich-kham/,"Thứ 2 - Thứ 6: 7h00 - 16h30
Thứ 7: 7h00 - 11h30",,,,Nhân viên Y tế; Người bệnh mạn tính; Người có H; Cộng đồng LGBTQ+; Nạn nhân buôn bán người,
Bệnh viện Quân Y 175,Bệnh viện công lập,"786 Nguyễn Kiệm, Phường Hạnh Thông, Thành phố Hồ Chí Minh (Quận Gò Vấp cũ)","786 Nguyễn Kiệm, Phường 3, Quận Gò Vấp",Phường Hạnh Thông,Thành phố Hồ Chí Minh,,,,"1900 1175
",,"Thứ 2 - Thứ 6: 
  - Sáng: 7h00 - 11h30
  - Chiều: 13h30 - 16h30

Thứ 7: 7h00 - 11h30

Cấp cứu 24/24",,,,Nhân viên Y tế; Người bệnh mạn tính; Người có H; Cộng đồng LGBTQ+; Nạn nhân buôn bán người,
Bệnh viện Thống Nhất,Bệnh viện công lập,"Số 1 Lý Thường Kiệt, Phường Tân Sơn Nhất, Thành phố Hồ Chí Minh","Số 1 Lý Thường Kiệt, Phường 7, Quận Tân Bình",Phường Tân Sơn Nhất,Thành phố Hồ Chí Minh,,,,"028 3869 0277
CSKH 1: 1900 2345 47
CSKH 2: 1900 6163 95
",,Thứ 2 - Thứ 7: 6h00 - 16h30,,,,Nhân viên Y tế; Người bệnh mạn tính; Người có H; Cộng đồng LGBTQ+; Nạn nhân buôn bán người,
Bênh viện 7A,Bệnh viện công lập,"466 Nguyễn Trải, Phường An Đông, Thành phố Hồ Chí Minh",,Phường An Đông,Thành phố Hồ Chí Minh,,,,"028 3924 4879
Hotline tư vấn: 028 38366789
",,,,,,Nhân viên Y tế; Người bệnh mạn tính; Người có H; Cộng đồng LGBTQ+; Nạn nhân buôn bán người,
Bệnh viện Nhân Dân 115,Bệnh viện công lập,"527 Sư Vạn Hạnh, Phường Hoà Hưng, Thành phố Hồ Chí Minh",,Phường Hoà Hưng,Thành phố Hồ Chí Minh,,,,"1900 099983
Số điện thoại để đăng ký khám bệnh: (028)38 683 496",,,,,,Nhân viên Y tế; Người bệnh mạn tính; Người có H; Cộng đồng LGBTQ+; Nạn nhân buôn bán người,
Bệnh viện Bưu Điện Thành Phố,Bệnh viện công lập,"Lô B9, Đường Thành Thái, Phường Hoà Hưng, Thành phố Hồ Chí Minh",,Phường Hoà Hưng,Thành phố Hồ Chí Minh,,,,"Số điện thoại 1: 028 3864 9834
Số điện thoại 2: 028 3864 9836
Số điện thoại 3: 028 3864 9837
",www.bvdkbuudien.com.vn,,,,,Nhân viên Y tế; Người bệnh mạn tính; Người có H; Cộng đồng LGBTQ+; Nạn nhân buôn bán người,
Bệnh viện 30/4,Bệnh viện công lập,"9 Sư Vạn Hạnh, Phường An Đông, Thành phố Hồ Chí Minh",,Phường An Đông,Thành phố Hồ Chí Minh,,,,"Số điện thoại 1: 069 333 64 68
Số điện thoại 2: 069 333 64 68",,,,,,Nhân viên Y tế; Người bệnh mạn tính; Người có H; Cộng đồng LGBTQ+; Nạn nhân buôn bán người,
Bệnh viện Nhân Dân Gia Định,Bệnh viện công lập,"Số 1 Nơ Trang Long, Phường Gia Định, Thành phố Hồ Chí Minh",,Phường Gia Định,Thành phố Hồ Chí Minh,,,,Số điện thoại: 02838412692 ,,,,,,Nhân viên Y tế; Người bệnh mạn tính; Người có H; Cộng đồng LGBTQ+; Nạn nhân buôn bán người,
Bệnh viện Nguyễn Tri Phương,Bệnh viện công lập,"468 Nguyễn Trãi, Phường An Đông, Thành phố Hồ Chí Minh",,Phường An Đông,Thành phố Hồ Chí Minh,,,,,,,,,,Nhân viên Y tế; Người bệnh mạn tính; Người có H; Cộng đồng LGBTQ+; Nạn nhân buôn bán người,
